Molocule,Wave_Number,Intensity ,A,gamma_air,gamma self,E'',n-air,delta - air,J',"J"""
12CH4,1250.43536,2.58E-26,0.02502,0.051,0.068,2357.6304,0.65,-0.002,11,12
12CH4,1250.44161,5.15E-25,0.02612,0.058,0.074,1816.2179,0.67,-0.002,9,9
12CH4,1250.45515,2.48E-26,0.002121,0.058,0.074,1818.5219,0.67,-0.002,9,9
12CH4,1250.46933,4.57E-26,0.003672,0.054,0.073,1826.338,0.67,-0.002,10,10
12CH4,1250.50582,6.94E-27,0.008515,0.044,0.065,2558.9021,0.65,-0.002,14,15
12CH4,1250.52645,3.48E-26,0.005429,0.058,0.075,1919.7559,0.72,-0.002,8,8
12CH4,1250.54051,3.88E-27,0.0003152,0.054,0.073,1828.8892,0.67,-0.002,10,10
12CH4,1250.551,2.38E-25,3.851,0.06,0.076,2924.6478,0.7,-0.003,6,7
12CH4,1250.58004,4.78E-26,0.01022,0.058,0.074,2007.2073,0.67,-0.002,9,9
12CH4,1250.5939,9.21E-26,1.727,0.039,0.059,3180.71,0.63,-0.002,19,19
12CH4,1250.594,5.53E-26,1.727,0.0485,0.059,3180.71,0.63,-0.002,19,19
12CH4,1250.594,3.68E-26,1.727,0.028,0.059,3180.71,0.63,-0.002,19,19
12CH4,1250.60279,4.72E-24,0.5007,0.058,0.075,1919.6833,0.72,-0.002,7,8
12CH4,1250.6494,5.24E-27,0.005339,0.047,0.065,2400.8105,0.65,-0.002,13,14
12CH4,1250.65613,2.53E-27,0.003891,0.036,0.065,2402.105,0.65,-0.002,13,14
12CH4,1250.6596,3.48E-27,0.005048,0.041,0.068,2356.7866,0.65,-0.002,11,12
12CH4,1250.6662,1.63E-25,0.03534,0.053,0.073,2115.1497,0.67,-0.002,9,10
12CH4,1250.69,2.77E-25,0.03727,0.064,0.078,1834.2163,0.73,-0.002,6,7
12CH4,1250.71436,2.41E-25,0.08725,0.053,0.07,2240.9814,0.65,-0.002,10,11
12CH4,1250.72751,4.79E-26,0.02889,0.054,0.07,2240.9893,0.65,-0.002,10,11
12CH4,1250.73156,2.52E-24,0.1341,0.058,0.079,1432.524,0.8,-0.002,3,4
12CH4,1250.74791,1.13E-24,0.1992,0.058,0.075,1919.7257,0.72,-0.002,7,8
12CH4,1250.75552,3.94E-25,0.02172,0.058,0.075,1679.5629,0.72,-0.002,7,8
12CH4,1250.76,2.73E-24,1.703,0.045,0.057,2395.4775,0.58,0,21,21
12CH4,1250.76,2.73E-24,1.703,0.045,0.057,2395.4775,0.58,0,21,21
12CH4,1250.91404,2.30E-24,0.5501,0.058,0.074,2007.2073,0.67,-0.002,8,9
12CH4,1250.92239,4.82E-24,0.2202,0.058,0.075,1641.1646,0.72,-0.002,7,8
12CH4,1250.9224,3.41E-27,0.0002447,0.053,0.07,1926.8828,0.65,-0.002,11,10
12CH4,1250.92407,5.05E-26,0.001462,0.066,0.079,1390.2856,0.8,-0.002,3,4
12CH4,1250.92851,1.55E-27,0.0001533,0.066,0.078,1694.6317,0.75,-0.002,4,5
12CH4,1250.9287,2.38E-27,0.0001158,0.058,0.075,1679.5629,0.72,-0.002,8,8
