"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.574386250E0,-7.277252197E0,-2.635313416E1,-4.063183594E1,4.897338227E1
2.584449250E0,-7.284606934E0,-2.635319519E1,-4.063479614E1,4.897696451E1
2.594513250E0,-7.397529602E0,-2.583222580E1,-4.000207520E1,4.818914145E1
2.604576250E0,-7.286468506E0,-2.596931839E1,-4.048339844E1,4.864569529E1
2.614639250E0,-7.271362305E0,-2.586403656E1,-4.035333252E1,4.847899073E1
2.624702250E0,-7.191459656E0,-2.596814346E1,-4.033251953E1,4.850539865E1
2.634765250E0,-7.378379822E0,-2.612698364E1,-4.060177612E1,4.884223569E1
2.644829250E0,-7.350692749E0,-2.595102310E1,-4.081420898E1,4.892124221E1
2.654892250E0,-7.380447388E0,-2.613032150E1,-4.082284546E1,4.902825121E1
2.664955250E0,-7.367454529E0,-2.591865921E1,-4.049282837E1,4.863872357E1
2.675018250E0,-7.332038879E0,-2.583546066E1,-4.030264282E1,4.843070142E1
2.685082250E0,-7.279136658E0,-2.583583832E1,-4.034146118E1,4.845523565E1
2.695145250E0,-7.221046448E0,-2.589695740E1,-4.052850342E1,4.863492062E1
2.705208250E0,-7.491317749E0,-2.600924301E1,-4.039163208E1,4.862185214E1
2.715271250E0,-7.037216187E0,-2.585695267E1,-4.042959595E1,4.850419200E1
2.725334250E0,-7.225830078E0,-2.601154709E1,-4.041690063E1,4.860389963E1
2.735398250E0,-7.321166992E0,-2.595876694E1,-4.085858154E1,4.895794882E1
2.745461250E0,-7.288375854E0,-2.613174057E1,-4.076440430E1,4.896656967E1
2.755524250E0,-7.400154114E0,-2.602906036E1,-4.053698730E1,4.873932298E1
2.765587250E0,-7.374320984E0,-2.594532394E1,-4.047729492E1,4.864105107E1
2.775651250E0,-7.383865356E0,-2.592070389E1,-4.043359375E1,4.859300218E1
2.785714250E0,-7.439010620E0,-2.577563477E1,-4.029226685E1,4.840649744E1
2.795777250E0,-7.369270325E0,-2.589642715E1,-4.081503296E1,4.889578714E1
2.805840250E0,-7.282485962E0,-2.585237122E1,-4.096136475E1,4.898176294E1
2.815903250E0,-7.086296082E0,-2.586151505E1,-4.077600098E1,4.880282582E1
2.825967250E0,-7.199813843E0,-2.607579803E1,-4.054327393E1,4.873952834E1
2.836030250E0,-6.924385071E0,-2.617446899E1,-4.010375977E1,4.838761704E1
2.846093250E0,-7.170547485E0,-2.600570297E1,-4.012615967E1,4.835102923E1
2.856156250E0,-7.236679077E0,-2.609024429E1,-4.024002075E1,4.850082104E1
2.866219250E0,-7.610542297E0,-2.621845627E1,-4.089080811E1,4.916691968E1
2.876283250E0,-7.354919434E0,-2.651958084E1,-4.060925293E1,4.905603359E1
2.886346250E0,-7.398887634E0,-2.640427780E1,-4.060192871E1,4.899434702E1
2.896409250E0,-7.368087769E0,-2.618904495E1,-4.012997437E1,4.848267356E1
2.906472250E0,-7.153381348E0,-2.628172302E1,-3.999874878E1,4.839214537E1
2.916536250E0,-7.108840942E0,-2.609177780E1,-4.014913940E1,4.840733295E1
2.926599250E0,-7.132537842E0,-2.614142227E1,-4.038546753E1,4.863366161E1
2.936662250E0,-7.219657898E0,-2.604088974E1,-4.020770264E1,4.844492491E1
2.946725250E0,-7.347869873E0,-2.640627670E1,-4.023931885E1,4.868763110E1
2.956788250E0,-7.312576294E0,-2.636392975E1,-4.031835938E1,4.872474388E1
2.966852250E0,-7.440895081E0,-2.619289780E1,-4.017858887E1,4.853610839E1
2.976915250E0,-7.083976746E0,-2.605871582E1,-3.996520996E1,4.823336401E1
2.986978250E0,-7.204277039E0,-2.625245667E1,-4.020034790E1,4.855060308E1
2.997041250E0,-6.997688293E0,-2.600912094E1,-4.039279175E1,4.854914663E1
3.007105250E0,-7.202796936E0,-2.621553040E1,-4.068371582E1,4.893157519E1
3.017168250E0,-7.039421082E0,-2.600119019E1,-4.060144043E1,4.872465808E1
3.027231250E0,-7.227119446E0,-2.603450012E1,-4.060742188E1,4.877488251E1
3.037294250E0,-7.382347107E0,-2.627477646E1,-4.042700195E1,4.877709927E1
3.047357250E0,-7.281929016E0,-2.624264908E1,-4.041708374E1,4.873647278E1
3.057420458E0,-7.226936340E0,-2.629856491E1,-4.008404541E1,4.848271673E1
3.067483458E0,-7.548217773E0,-2.615613174E1,-4.032583618E1,4.865482384E1
3.077546458E0,-7.377349854E0,-2.620156860E1,-4.031262207E1,4.864211124E1
3.087609458E0,-7.319023132E0,-2.599205399E1,-4.044842529E1,4.863363115E1
3.097673458E0,-7.339683533E0,-2.586204910E1,-4.009436035E1,4.827291446E1
3.107736458E0,-7.433120728E0,-2.600978851E1,-4.006576538E1,4.834279613E1
3.117799458E0,-7.483245850E0,-2.577782440E1,-4.015573120E1,4.830091042E1
3.127862458E0,-7.432052612E0,-2.609649658E1,-4.033294678E1,4.861079238E1
3.137925458E0,-7.325447083E0,-2.604201126E1,-4.024722290E1,4.849420044E1
3.147989458E0,-7.264106750E0,-2.605926132E1,-3.990426636E1,4.820998674E1
3.158052458E0,-7.618064880E0,-2.603538513E1,-4.013327026E1,4.844125900E1
3.168115458E0,-7.511245728E0,-2.575550461E1,-3.989453125E1,4.807638145E1
3.178178458E0,-7.385108948E0,-2.614233017E1,-3.985839844E1,4.823539351E1
